Name,Birth,Death,Nationality,Dates in Paris,address,Schools Attended,Exhibitions,Contacts,Government Grant,Notes,Tags,Image
"Cistello, Julie de la (Vicomtesse)",,,,ca. 1924,,,1924 Société Nationale des Beaux-Arts,,,,"female, Société Nationale des Beaux Arts ",
"Cochet, Gustavo",1894,1979,Argentina,"1920-1928, 1929-1931, 1933-1939","Villa Bel-Air, rue Confland Herblay (S.-et-O.); 38, rue du Vieux-Pont-de-Sèvres (Boulogne)",,"1924 Salon des Indépendants<br /> 1926 Salon d'Automne<br /> 1926 Galerie Fabre, rue Miromesnil<br /> Galerie Barreiro, rue de la Seine<br /> Galerie Bernheim, rue Coumartin<br /> 1930 (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak",,,son of a Frenchman; sold Paysage in 1927 for 200f,"Argentina, Salon d'Automne, Salon des Indépendants, 1930 Exposition du Groupe Latino-Americain, Galerie Zak",
"Colin, Roberto Augusto",,,Brazil,ca. 1921-1935,"70, rue Damrémont, (XVIIIe)",,"1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1924, 1935 Salon des Indépendants<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera",,,,"Brazil, 1924 Exposition d'Art Américain-Latin, Salon des Indépendants",
"Colson, Jaime",1901,1975,Dominican Republic,"1924-1934, 1938-39","17, rue du Sommerard, Ve; rue Hippolite Maindrov, Montrouge (studio)",Free Académies of Montparnasse,"1926, 1927, 1928 Salon des Indépendants<br /> 1926 (Mar.) Arte Americano, Cabinet Maldoror, Brussels (with Santos Balmori, Cabezón Isaías, César Moro)<br /> 1927 Asociación París-Amérique Latine, with César Moro<br /> 1930 (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak<br /> 1930 (Apr. 18-May 1) Première Exposition internationale du Groupe Cercle et Carré, Galerie 23<br /> 1939 (Apr. 24-May 5) Exposition Jaime Colson Peintre Dominicain, Galerie Bernheim Jeune (with Mario Carreno)",Torres García,,affiliated with Cercle et Carré,"Dominican Republic, Salon des Indépendants, 1930 Exposition du Groupe Latino-Americain, Galerie Zak",
"Coria, Benjamin-Victor (or Corria)",,,Mexico,ca. 1926-,,,"1929 (Belvédère, Portrait), 1930 Salon des Indépendants ",,,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930; sells Nature Morte in 1926 for 1600f","Mexico, Salon des Indépendants",
"Correa, Rafael",1901,1975,Chile,1930,"125, Boulevard du Montparnasse (American Art Co.)",Jean-Paul Laurens,1930 Société des Artistes Français (Troupeaux d’animaux au Chili (illustrated p. 148),,,,"Chile, Salon des Artistes Français",
"Correa-Morales, Lia",1839,1975,Argentina,,,,"1929 Société Nationale des Beaux-Arts (Portrait de Mme de L, Marguerita)",,,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Argentina, female, Société Nationale des Beaux Arts ",
"Cortés, Ana ",1903 or 1895,1998,Chile,1925-1928,"88, boulevard Saint-Michel (VI)",Académie de la Grande Chaumière; Académie André Lhote,1926 Salon d’Automne<br /> 1926 salon “Société nationale des beaux-arts”,,yes,Grupo de Montparnasse,"Chile, female, Salon d'Automne, Académie de la Grande Chaumière, Académie André Lhote",
"Cossio del Pomar, Felipe ",1889,1981,Peru,1911-1932,"15, rue des Dames-Augustines, Neuilly-sur-Seine",,"1928, 1930 Salon d'Automne<br /> 1929 (Portrait de Mme. De G. (illustrated in catalogue p. 106)), 1930 (Descendants des Incas (illustrated p. 76)), 1931 Société des Artistes Français ",,yes,Doctorate from University of Cuzco in Letras; Secrétaire de l'Union des Artistes Etrangers de Paris,"Peru, Salon d'Automne, Salon des Artistes Français",
"Costa, Valdemar de ",,,Brazil,ca. 1930 ,,,"1930 (nature morte, paysage), 1931 Salon des Indépendants ",,,,"Brazil, Salon des Indépendants",
"Cueto, Germán",1893,1975,Mexico,1927-1932,rue des Plantes ,,"1929 Galerie Quatre-Chemins (group show)<br /> 1929 (Feb 6-19) Sculptures et Masques: German Cueto, Salle de la Renaissance, 11, rue Royale<br /> 1930 (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak<br /> 1930 (Apr. 18-May 1) Première Exposition internationale du Groupe Cercle et Carré Galerie 23<br /> 1931 Salon des Surindépendents (9 sculptures)","Marie Blanchard, Torres-García, Lipchitz, Brancusi",,"1929-1930 reunion of the estridentistas in París (Arqueles Vela, Germán List Arzubide, Manuel Maples Arce, Germán Cueto and Lola Cueto, Armando Zegri)","Mexico, 1930 Exposition du Groupe Latino-Americain, Galerie Zak",
"Cuneo, José ",1889 or 1887,1977,Uruguay,"1912-13, 1917, 1925, 1927-30, 1937-1938",,"Anglada Camarasa, Van Dongen (1912-13), Académie de la Grande Chaumière (1917)",1930 (Feb. 18-Mar. 13) Galerie Zak with Barnabé Michelena (landscapes and still lifes)<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne (bronze medal)<br /> 1938 (Dec.) Galerie Jeanne Castel (watercolors of Uruguay and Venice)<br /> 1938 Salon des Tuileries,,yes (1927-20),,"Uruguay, Académie de la Grande Chaumière, Salon des Tuileries, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Galerie Zak",
"Curatella Manes, Pablo",1891,1962,Argentina,1912-1914; 1919-1951,"93, rue Jouffroy (1912); 15, rue Hégésippe-Moreau (1919); 74, boulevard Beaumarchais (1923); 15, rue Hégésippe-Moreau (1927)",Académie André Lhote,"1912, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1927, 1928, 1929, 1931, 1932, 1933, 1934, 1937, 1938, 1940 Salon d'Automne<br /> 1923, 1924, 1925, 1926, 1927, 1928, 1929 Salon des Tuileries<br /> 1924, 1925, 1926, 1928 Salon des Indépendants<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Bas relief, La femme au gros manteau, 2 untitled sculptures)<br /> 1925 (Feb. 4-20) Galerie Vavin-Raspail (group show with Pompon, Loutchansky, De Creeft)<br /> 1925 Exposition internationale des arts décoratifs et industriels modernes (silver medal for relief sculpture Lancelot et Geneviève)<br /> 1926 (Apr.) Exposition d'art argentin, Jeu de Paume (organized by the Universidad de La Plata)<br /> 1927 (Jun. ?) Exposition de Peintres et Sculpteurs Argentins, L'Association Paris-Amérique Latine<br /> 1929 Exposition internationale de sculpture, Galerie Georges Bernheim (group show organized by Tériade that included Giacometti)<br /> 1930 (Dec.) Huit artistes du Rio de la Plata, Galerie Castelucho-Diana<br /> 1930, 1931, 1935? Salon des Surindépendants<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne (decoration for Argentine Pavillion)<br />  1939 Legion of Honor from the French government

","Aristide Maillol, Emile-Antoine Bourdelle, Maurice Denis, Paul Sérusier, Henri Laurens, Gris, Brancusi, Le Corbusier, Léger, Gleizes, Severini, Brancusi, Gargallo, Maurice Raynal, Pierre Reverdy
",,"sculptor; cubist; diplomat 1926-1947; secretary for the Argentine Embassy in Paris; listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930 ","Argentina, 1924 Exposition d'Art Américain-Latin, Salon d'Automne, Salon des Indépendants, Salon des Tuileries, 1925 Exposition Internationale des Arts Décoratifs et Industriels Modernes, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Legion of Honor, Académie André Lhote",
"Damblana, Eugéne",,,,ca. 1924,,,"1924, 1925, 1927, 1930 Salon des Artistes Français",,,,Salon des Artistes Français,
"Dampt, Diana de Cid J. ",,,Argentina (or Brazil?),ca. 1924,"17, rue Campagne-Première",,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1930 Société Nationale des Beaux-Arts",,,,"female, 1924 Exposition d'Art Américain-Latin, Société Nationale des Beaux Arts ",
"Del Carpio, Elena ",,,Bolivia,ca. 1927,,,1927 Cercle Paris-Amérique Latine (54 landscapes),,,,"Bolivia, female",
"Del Carril, Delia",1886 or 1884,1989,Argentina,1918-1921; 1929-1930; ca. 1930-1934,"Rue Saint-Simon; 44, Elysée Reclus","L'Académie Moderne de Léger, 86, rue Notre Dame de Champs 1929, Académie André Lhote, 2 rue Jules Chaplain 1930",,,,,"Argentina, female, Académie André Lhote",
"Del Prete, Juan ",1897,1987,Argentina,1929-1933,,,"1930 (Mar. 14-Apr. 1930) Galerie Zak (works brought from Buenos Aires)<br /> 1930 (Dec.) Huit artistes du Rio de la Plata, Galerie Castelucho-Diana<br /> 1931 Galerie Vavin<br /> 1931-33 Salon des Surindépendants<br /> 1932 Salon des Surindependant with Abstraction-création: Art non-figuratif group",1932 Abstraction-création: Art non-figuratif group,"Amigos del Arte, Buenos Aires",,"Argentina, Galerie Zak",
"Delucchi, Pierre",,,Argentina,,,,,,,,Argentina,
"Derbecq Manés, Germaine C. ",,,Argentina,ca. 1923-1924,"74, boulevard Beaumarchais, XIe",,"1923, 1924 Salon des Indépendants<br /> 1924 (Mar. 29-Apr. 12) Jacques Rodriques Henriques, 20, rue bonaparte (group show) ",,,married to Pablo Curatella Manes; ,"Argentina, Salon des Indépendants",
"Dias, Cícero",1907,2003,Brazil,1937-1943,,,"1938 Galerie Jeanne Castel, text by André Salmon<br /> 1938 Galerie Billiet","Picasso, Paul Eluard during WWII",,,Brazil,
"Domínguez Neira, Pedro  ",1894,1970,Argentina,1929-1931,,Académie André Lhote,,,,Grupo de Paris,"Argentina, Académie André Lhote",
"Domínguez, Lorenzo ",1901,1963,Chile,1938-1939,,,,"Brancusi, Bourdelle, Zadkine, Maillol, Lorains",,sculptor; just observed didn't create new work in Paris,Chile,
"Donoso, Eduardo",1890,,Chile,ca. 1924-1934,"15, rue Lesueur, (XVIe); 20 boulevard Flamdrom XVIe",,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1928  (Portrait (reproduced in catalogue)), 1929 (Nature morte), 1930 (Nature morte, Michel (reproduced in catalogue p. 174)), 1931 Salon des Artistes Français<br /> 1934 Salon de Tuileries",,,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930 ","Chile, 1924 Exposition d'Art Américain-Latin, Salon des Tuileries, Salon des Artistes Français",
"Donoso, Pedro Leon ",1894,1956,Ecuador,1930s?,,,,,,,Ecuador,
"Dorlhiac, Carlos",1880,1973,Chile,never lived in Paris; his friend Andrés Launay brought his work to Paris for exhibit,,,"1925, 1926 Société Nationale des Beaux-Arts<br /> 1928 Salon des Artistes Français",,,,"Chile, Salon des Artistes Français, Société Nationale des Beaux Arts ",
Duara,,,Brazil,ca. 1923,,, 1923 Inaugural exhibition at the Maison de l'Amérique Latine<br />,,,,Brazil,
"Dutra, Alipio ",1897,1964,Brazil,1919-,"4, rue Belloni, Paris (XVe)",Académie Julian,"1923 Salon des Artistes Français<br />  1923 Inaugural exhibition at the Maison de l'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1924 Salon des Artistes Français",,,,"Brazil, 1924 Exposition d'Art Américain-Latin, Salon des Artistes Français, Académie Julian",
"Egas, Camilo",,,Ecuador,1924-1925,"1, rue Racine, Paris (Vie) (1924); 1, avenue de la République XIe (1925)",Académie Colarossi,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Portrait de l'auteur par lui-même, 2 Nature morte)<br /> 1925 Commissioner of fine arts Ecuadorian pavilion (not built), 1925 Exposition internationale des arts décoratifs et industriels modernes<br /> 1925 Salon des Indépendants (Portrait de jeunes filles, Race indienne)<br /> 1925 Salon d’Automne (Idole Equateur, Repos)<br /> 1925 (Sept. 26-Oct. 15) Exposition peintures de Camilo Egas Galerie Carmine",,,sells Personnages mexicains in 1926 for 450f (not sure this is right),"Ecuador, 1924 Exposition d'Art Américain-Latin, Salon d'Automne, Académie Colarossi, 1925 Exposition Internationale des Arts Décoratifs et Industriels Modernes",
"Eguiluz, Augusto ",1894,1969,Chile,1928-1930 ,,Académie de la Grand Chaumière,,,yes,,Chile,
"Enríquez, Carlos",1901,1957,Cuba,1930-1933,hotel on Passage Dareaux,,,Surrealism,,,Cuba,
"Espinoza (or s) Macedo (or Caceda or Paceda), Romano",1897,?,Peru,ca. 1927-1937,,,1928 Salon d'Autonme<br /> 1930 exhibition?<br /> 1928 Salon des Artistes Français<br /> 1928 Salon d'Automne (Groupe préhistorique-photograph<br /> Chef indien-sculpture)<br /> 1931 Société National des Beaux-Arts,,,"sculptor; listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Peru, Salon d'Automne, Salon des Artistes Français",
"Espinoza Viale, Mme",,,,,,,1928 Société Nationale des Beaux-Arts,,,,"female, Société Nationale des Beaux Arts ",
"Etchessary, Isabel de",,,Argentina,1922-1924 (or longer),"93, boulevard Berthier (XVIIe)",,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Danseuses, Etudes de mouvement)",,,known primarily as a dancer,"Argentina, female, 1924 Exposition d'Art Américain-Latin",
"Fabres, Oscar",1894,1960,Chile,1925-1929 (probably longer),,,,,,commercial artist and illustrator; published Longchamp book of drawings with preface by Foujita in 1928,Chile,
"Fagundes, Guiomar",1896,1975,Brazil,ca. 1930,,,1930 Société Nationale des Beaux-Arts,,,,"Brazil, Société Nationale des Beaux Arts ",
"Felix, José",,,Peru,ca. 1923-1924,"8, rue Geoffroy-Maris, Paris (IXe)",," 1923 Maison de L'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Marguerite (nu), Passage des condors, Portrait de l'auteur)",,,,"Peru, 1924 Exposition d'Art Américain-Latin",
"Fernández, Carlos",,,Cuba,1937,,,,,,,Cuba,
"Ferreyra, Rose-Malvina",,,Argentina,,,,1927 Salon ?,,,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930; ","Argentina, female",
"Figari, Juan Carlos ",1894,1927,Uruguay,,,"MM G. Clara, P.A. Laurens, Eschbach, Roger",,,,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930; son of Pedro Figari",Uruguay,
"Figari, Pedro ",1861,1938,Uruguay,"1913, 1925-1933","13, Place du Phantéon (Latin Quarter)",,"1923 (Nov. 5-16) Exposition Pedro Figari: Scènes de la Vie Sud-Américaine Galerie Druet<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Pericon, Candombe, Tucanes, Visita, Asesinato de Quirigua, Fiesta en el pueblo, Candombe)<br /> 1925 (Oct. 19-30) Exposition Pedro Figari, Galerie Druet<br /> 1926 Salón du France Musée Galliera organized by Paris Midi newspaper (one work)<br /> 1927 (Oct. 29-Nov. 10) Exposition Pedro Figari, Galerie Druet<br /> 1929 (May) Legación del Uruguay<br /> 1930 (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak<br /> 1930 (Dec.) Huit artistes du Rio de la Plata, Galerie Castelucho-Diana<br />  1931 (Jun.) Evocations Sud-Américains, Galerie Castelucho-Diana<br /> 1932 Peintres d'aujourd'hui, de Courbet à nos jours (group show)",,,"diplomat; not in Paris for Musée Galliera show works came from collections in Paris (Jules, Violette, LB Supervielle, Martin Lasala); published Art, Esthétique, Idéal in French in 1920; sells Danse créole in 1926 for 6700f","Uruguay, 1924 Exposition d'Art Américain-Latin, 1930 Exposition du Groupe Latino-Americain, Galerie Zak",
"Fioravanti, José",1896,1977,Argentina,"1924-1927, 1929-1935",D'Alésia et Tombe Issoire; rue Vercingetorix,,"1926 Galerie Barbazanges (M. Martinez de Hoz)<br /> 1934 ( Dec.) Exposition de Sculpture Monumentales de José Fiorvanti Musée des écoles étrangères contemporaines, Jeu de Paume des Tuileries<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne, gold medal",,,sculptor,"1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Argentina",
"Fonseca, Gaston de ",1874,1954,Brazil,ca. 1921-1943,"53, rue Beaunier, XIVe",,"1921, 1923, 1924, 1925, 1926, 1933, 1934, 1936, 1937, 1943 Salon des Indépendants<br /> 1932, 1933, 1934, 1935 Salon d'Automne<br /> 1929 Legion of Honor",,,,"Brazil, Legion of Honor",
"Fontana, Lucio",1899,1968,Argentina (Italian parents),ca. 1935-1939,,,"1934 Abstraction-Création group<br /> 1937 Sevrés factory, Paris",,,,Argentina,
"Forner, Raquel ",1902,1988,Argentina,1929-1931,,Académie Scandinave with Othon Friesz,"1926 (Apr.) Exposition d'art argentin, Jeu de Paume (organized by the Universidad de La Plata)<br /> 1930 Salon des Tuileries<br /> 1930  (Apr. 11-24) Première exposition du groupe latino-americain de Paris Galerie Zak<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne (gold medal) ",,yes,Grupo de Paris; married to Alfredo Bigatti,"Argentina, female, 1930 Exposition du Groupe Latino-Americain, Salon des Tuileries, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Galerie Zak",
"Fossa-Calderon, Julio-E. ",1874,1946,Chile,"1923, 1929-1930","41, rue Pascal","Cormon, J.P. Laurens","1923, 1924, 1929 (Mère et enfant, La robe blanche (illustrated in catalogue p. 128)), 1930, 1936 (honorable mention) Salon des Artistes Français<br /> 1926 Société National des Beaux-Arts",,,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Chile, Salon des Artistes Français, Société Nationale des Beaux Arts ",
"Franck, L. ",,,Uruguay,,,,1931 Salon des Indépendants,,,,"Uruguay, Salon des Indépendants",
"Gabrielli, Torricelli",,,,,,,1927 Salon?,,,,,
"Galvao, Alfredo",1900,,Brazil,,,,1931 Société Nationale des Beaux-Arts,,,,"Brazil, Société Nationale des Beaux Arts ",
"Garafulic, Lily ",1914,,Chile,1938,,,,Brancusi,,"Trip was very early in career, right after college. Traveled all around Europe.","Chile, female",
"Garavito, Humberto",1897,1970,Guatemala,1922-1926 (also in Madrid during this period),Rue Pascal,Académie Ranson,1925 (Nov. 16-30) Galerie Carmine,,,,"Guatemala, Académie Ranson, Académie Ranson",
"Garcia, Gregorio",1908,1932,Venezuela,1930,"135, Este 4",,"1930 Société des Artistes Français (Criola, Cabeza Tipica)",,,sculptor,"Venezuela, Salon des Artistes Français",
"Gattorno, Antonio ",1904,1980,Cuba,1920-1927 (parts in Paris),"64, avenue du Maine, Paris (XIVe), shared studio with Juan José Sicre",,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Paysage, Les soeurs)","Georges Rouault, Jules Pascin",yes since 1921,,"Cuba, 1924 Exposition d'Art Américain-Latin",
"Gavazzo Buchardo, Juan Manuel ",1888,1965,Argentina,1917-1924; 1925-1933,"7, rue Joseph-Bara; 216, boulevard Raspail; 9, rue de Montsouris (XIVe)",Académie Ranson,"1922 Salon d'Automne<br />  1923 Inaugural exhibition at the Maison de l'Amérique Latine<br />  1923 Maison de L'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1926 (Apr.) Exposition d'art argentin, Jeu de Paume (organized by the Universidad de La Plata)<br /> 1927 (Jun. ?) Exposition de Peintres et Sculpteurs Argentins L'Association Paris-Amérique Latine<br /> Exhibition in his studio Blvd. Raspail 216<br /> 1932 Salon des Tuileries",Maurice Denis,no,"Canciller de Segunda en el Consulado General de la República en Paris; Asociación de Artistas Argentinos en Europa; listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930 ","Argentina, 1924 Exposition d'Art Américain-Latin, Salon d'Automne, Salon des Tuileries, Académie Ranson",
"Gazmuri, Hernán ",1900,1979,Chile,1928-1931,,Académie André Lhote (1928); Fernand Léger; L'Ecole du Louvre (art history and aesthetics); Sorbonne (Letres with Victor Bach and Henry Schneider),,"Saw exhibitions by Klee, Chagall, Mondrian",no,Claims he was not associated with Grupo de Montparnasse,"Académie André Lhote, Chile",
"Giorgi, Bruno",1905,1993,Brazil ,1937-1939,,Académie de la grand Chaumière; Académie Ranson,"1938, 1939 Salon des Tuileries<br /> 1938 Salon d'Automne","Maillol, Despiau",,"sculptor; member of Associatoin des peinters et sculpteurs in Paris, 1939","Brazil, Salon d'Automne, Salon des Tuileries, Académie Ranson",
"Gómez Jaramillo, Ignacio ",1910,1970,Colombia,,,,,,,,Colombia,
"Gómez, Pedro Nel ",1889,1984,Colombia,1925 (1 month)-mostly in Italy,,,,,,organized Primera Exposición de Artistas Centro y Sudamericanos residentes en Italia in Rome in Apr 15-May 15 1928 at  Casa de España and Salon del Circulo Artistco Internacional de Roma,Colombia,
"Gomide, Antonio ",1895,1965,Brazil,"1921, 1924-1926, 1928-1929","52, rue Vercingétorix (listed Brecheret's studio)",,1924 Salon des Indépendants,"Picasso, Braque, Lhote, Picabia, Severini",,,"Brazil, Salon des Indépendants",
"Gomide, Regina",1897,1973,Brazil,ca. 1923,,,,,,Married to Swiss artist John Graz; They moved to Brazil together in 1920;  may have sent paintings to salons,"Brazil, female",
"Gonzales-Moreno, Antonio ",1896,1970,Argentina,cs. 1924-1934,"5, rue Cassini","J.P. Laurens, Royer, Déchenaud","1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Jazz-Band)",,,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930 ","Argentina, 1924 Exposition d'Art Américain-Latin",
"González Gamarra or Camarra, Francisco",1890,1972,Peru,ca. 1926,,,1926 exhibition,,,,Peru,
"González M., Antonio",1896,1968,Argentina,,,,,,,,Argentina,
"González Trujillo, Alejandro (Apuimak)",1900,1985,Peru,1936-1938?,,"Académie Julian (Jan.-Apr. 1932? only Gonzalez, Peru listed in archives)",exhibitions in Paris and Belgium,,,,"Peru, Académie Julian",
"González, Eva",,,,ca. 1932,,,1932 exhibition ?,,,Is this perhaps 19th c. Impressionist?,female,
"González, Lorenzo",1877,1948,Venezuela,ca. 1919-1930,,,,,,sculptor,Venezuela,
"Gorastiaga, Maria",,,,,,,"1926 Société Nationale des Beaux-Arts<br /> 1928, 1930 Salon des Artistes Français",,,,"female, Salon des Artistes Français, Société Nationale des Beaux Arts ",
"Grau, Ricardo ",1907,1970,Peru (born in France),1925-1937,"416, chaussée de Waterloo, Brussels (1931); 87, rue du Trône, Brussels","Ecole Superior de Beaux Artes, Paris (c. 1926); Académie André Lhote, Othon Friesz, Fernand Léger, André Favory, Picard-Le Deux, Académie Ranson, Amédée Dubois de la Patellière and Brissière","1931, 1932 Salon des Indépendants<br /> 1932 Salon d'automne<br /> 1932, 1933 Salon des Tuileries<br /> 1932 Galerie Toison d'Or, Brussels<br /> 1932 Galerie Manteau, Brussels<br /> 1935 Galerie Zak ","Dali, Magritte, Breton",,,"Peru, Salon d'Automne, Salon des Indépendants, Salon des Tuileries, Galerie Zak, Académie André Lhote, Académie Ranson",
"Guido, Alfredo",,,Argentina,,,,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (work submitted from Buenos Aires)<br /> 1925 prints in groups show at the Hôtel Jean Charpentier (may have been sent from Buenos Aires)<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne, Argentine Pavilion",,,,"Argentina, 1924 Exposition d'Art Américain-Latin, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne",
"Guillaume, Emma",,,Argentina,,,,1926 Salon des Indépendants,,,,"Argentina, female",
"Guillaume, Pedro",,,Chile,,,,1926 Salon des Indépendants,,,,Chile,
"Guimares, José",,,Brazil,,,,1931 Salon des Artistes Français,,,,"Brazil, Salon des Artistes Français",
"Guïraldez, Alberto ",1897,1961,Argentina,,,,1927 (Jun. ?) Exposition de Peintres et Sculpteurs Argentins L'Association Paris-Amérique Latine,,,,Argentina,
"Guttero, Alfredo ",1882,1932,Argentina,1905-1921; 1923-1924 ,workshop on rue Morère (until 1921),,"1911, 1912, 1913, 1919, 1920, 1921, 1923 Salon d'Automne<br /> 1909, 1910, 1911, 1912, 1913 Salon des Indépendants<br /> 1919 Exposition Internationale des Arts Décoratifs, Rouen<br /> 1926 (Apr.) Exposition d'art argentin, Jeu de Paume (organized by the Universidad de La Plata)",,1905-1907,,"Argentina, Salon d'Automne",
"Guzmán de Rojas, Cecilio ",1899,1950,Bolivia,1923,,,,,,19191929 San Fernando in Madrid; only short trip to Paris in 1923,Bolivia,
"Harris Flores, Juan Eduardo ",1867,1949,Chile,ca. 1924 ?,"119, boulevard Montparnasse",,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera",,,"In Paris ca. 1900, painting may have been sent from Chile in 1924","1924 Exposition d'Art Américain-Latin, Chile",
"Hayman, Laura",,,,ca. 1924,,,"1924, 1928 Salon des Artistes Français",,,,"female, Salon des Artistes Français",
"Hernandez Giro, Juan Emilio  ",1882,1960,Cuba,c. 1920-1924,"32, rue La Fontaine (XVIe)",,"1921 (Apr.) Galerie Simonson (watercolors)<br />  1923 Maison de L'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Portrait of Dr. Luis Montané, and others)<br /> 1920, 1921, 1922, 1923, 1924 Salon des Indépendants<br /> 1924 solo show?",,,"In 1924, he was named a Gentleman of the Legion of Honor in France. ","Cuba, 1924 Exposition d'Art Américain-Latin, Salon des Indépendants, Legion of Honor",
"Humeres, Roberto",1903,1978,Chile,?-1934,,,1930 Salon d'Automne,,,,"Chile, Salon d'Automne",
"Ibarra, Aïda ",,,Dominican Republic,ca. 1931-1933,Bouffémont (Seine-et-Oise); Collège féminin de Bouffemont,,1933 Salon des Indépendants<br /> 1931 Salon d'Automne,,,,"Dominican Republic, female, Salon des Indépendants, Salon d'Automne",
"Infante, Gaston L. ",,,Brazil,ca. 1924; 1928,"14, rue de la Tour (XVIe)",,"1923 Maison de L'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> Salon des Artistes Français<br /> 1928 Salon des Indépendants",,,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930 ","Brazil, 1924 Exposition d'Art Américain-Latin, Salon des Indépendants, Salon des Artistes Français",
"Izquierdo, Maria ",1902,1956,Mexico,not in Paris,,,1937 Galerie van den Berg (Antonin Artaud brought several of her works for exhibition),,,,"Mexico, female",
"Jensen, Alfredo Julio",1903,1981,Guatemala,,,,"1929, 1930 Salon d'Automne",,,,"Guatemala, Salon d'Automne",
"Jiménez Armengol, A. ",,,,1925,,,,,,,,
"Jiménez, Max",1900,1947,Costa Rica,1922-25; 1928-1929; 1939,"3, rue Vercingétorix (XIVe)",1923 Académie d'art Ranson,"1923 Maison de L'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Granit, Plâtre)<br /> 1924 Salon des Independantes (Maternity, wood sculpture)<br /> 1924, 1939 Salon des Tuileries<br /> 1924 (Oct. 18-Nov. 5) Galerie Percier<br />  1939 Bernheim-Jeune ",José de Creeft; Maurice Denis,,sculptor,"Costa Rica, 1924 Exposition d'Art Américain-Latin, Salon des Indépendants, Salon des Tuileries, Galerie Bernheim-Jeune, Académie Ranson",
"Kahlo, Frida ",1910,1954,Mexico,1939 (Jan.-Mar. 25),"42, rue Fontaine (with Jacqueline and André Breton) ",,"1939 (Mar.) Mexique, Galerie Pierre Colle (with Alvarez Bravo and folk art) (Le square est à eux, Moi et ma nourrice, Ils me demandent des avions et de paille, Le coeur, Ma robe était pendue là, Ce que l'eau m'a donné,Pitahayas, Tunas, Nourriture de la terre, Le désir perdu, Naissance, Habillée pour le paradis, Elle joue seule, Passionnément amoureux, Burbank le faiseur de fuits, Xochitl, Le Cadre, Suicide)",Breton,,Louvre bought “The Frame” now at the Pompidou ,"Mexico, female",
